날짜,PM10,PM25,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),체감온도,기압차,풍압,판매량_어제,판매량_7일평균,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,Sales Amt
2017-12-16,43.53990178023327,26.731697341513293,2.954166666666667,303.3333333333333,46.333333333333336,1.9208333333333334,-16.016666666666666,1016.3083333333334,1027.4458333333334,7.5,1514.875,-3.975,-1.4583333333333333,-0.41250000000000003,0.8166666666666668,1.8541666666666667,-5.965416666666666,11.137500000000045,896.0972222222223,4038105.0,3892179.5714285714,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,15.516393371446444
2017-12-17,41.243176939589084,14.45343137254902,1.9041666666666668,303.75,37.625,1.3583333333333334,-19.275000000000002,1019.7583333333333,1031.0125,11.0,1989.625,-5.3125,-2.4375,-0.9833333333333334,0.6041666666666666,1.6708333333333334,-7.216666666666667,11.25416666666672,578.390625,5478781.0,4463837.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,15.408795917468337
2017-12-18,54.37671660424469,32.72014622258327,1.1833333333333333,115.41666666666667,77.0,4.175,-5.55,1015.9166666666666,1026.8999999999999,7.041666666666667,629.5,-1.8499999999999999,-1.0250000000000001,-0.5041666666666667,0.5416666666666666,1.5208333333333333,-0.4891666666666663,10.983333333333235,136.57638888888889,4919885.0,4392415.571428572,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.21099704177808
2017-12-19,47.5890920359467,19.805737704918034,2.1708333333333334,302.5,50.208333333333336,2.3625000000000003,-13.020833333333334,1020.2583333333333,1031.3708333333334,13.2,1661.2083333333333,-1.925,-1.2708333333333333,-0.5125000000000001,0.375,1.3,-3.5466666666666664,11.112500000000068,656.6770833333334,4036937.0,4392348.714285715,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.213042539835927
2017-12-20,41.718809373020896,25.519159456118665,1.1125,123.75,65.5,2.983333333333333,-10.004166666666666,1020.1791666666667,1031.325,8.6,1404.7083333333333,-2.733333333333333,-1.7083333333333333,-0.6666666666666666,0.42083333333333334,1.3708333333333333,-3.1054166666666667,11.145833333333371,137.671875,4045203.0,4421965.571428572,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.240623628367794
2017-12-21,55.26046954314721,42.05446985446986,1.2166666666666666,206.66666666666666,73.08333333333333,4.0874999999999995,-5.479166666666667,1020.4,1031.3958333333333,6.4,730.375,-2.033333333333333,-0.7208333333333333,-0.3125,0.44583333333333336,1.3708333333333333,0.4950000000000001,10.99583333333328,251.4444444444444,4158327.0,4394091.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.221950624777122
2017-12-22,60.2653934804083,44.70655391120508,1.0,124.58333333333333,67.08333333333333,5.008333333333334,-2.8375,1015.7041666666668,1026.5,8.434782608695652,802.75,0.04583333333333334,0.04583333333333334,-0.04583333333333334,0.5166666666666667,1.3958333333333333,4.070833333333333,10.795833333333235,124.58333333333333,4081399.0,4429166.428571428,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,15.2703122727264
2017-12-23,105.12056972507453,75.68791118421052,1.1583333333333334,212.91666666666666,75.58333333333333,7.083333333333333,2.0208333333333335,1012.35,1022.9791666666666,6.166666666666667,338.625,1.6500000000000001,0.49583333333333335,0.0,0.6,1.3958333333333333,7.585833333333333,10.629166666666606,246.62847222222223,4283633.0,4721736.142857143,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,15.833976556887123
2017-12-24,78.6401555319901,60.934637801831805,1.825,190.0,82.79166666666667,6.575,0.7083333333333334,1003.5291666666667,1014.1708333333332,5.55,359.3333333333333,1.5583333333333333,0.6916666666666668,0.03333333333333333,0.65,1.3875,4.664583333333334,10.641666666666538,346.75,7526769.0,4223959.857142857,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,14.176990340157658
2017-12-25,30.800868486352357,15.825020781379884,2.6999999999999997,289.1666666666667,43.375,2.279166666666667,-13.216666666666667,1011.6875,1022.6374999999999,13.5,1916.9166666666667,-0.9541666666666666,0.020833333333333332,0.15833333333333335,0.8250000000000001,1.4791666666666667,-2.6804166666666664,10.949999999999932,780.75,1435451.0,4600710.571428572,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.713758856065324
